Dataset Size,Number of Ants,Alpha,Beta,Evaporation,Q,Iterations,Result
100,30,0.10,1.50,0.30,11,100,3133.0
100,30,0.10,1.50,0.30,11,150,3133.0
100,30,0.10,1.50,0.30,11,200,3133.0
100,30,0.10,1.50,0.30,13,50,3372.0
100,30,0.10,1.50,0.30,13,100,3269.0
100,30,0.10,1.50,0.30,13,150,3208.0
100,30,0.10,1.50,0.30,13,200,3147.0
100,30,0.10,1.50,0.40,1,50,3655.0
100,30,0.10,1.50,0.40,1,100,3374.0
100,30,0.10,1.50,0.40,1,150,3293.0
100,30,0.10,1.50,0.40,1,200,3293.0
100,30,0.10,1.50,0.40,3,50,3482.0
100,30,0.10,1.50,0.40,3,100,3415.0
100,30,0.10,1.50,0.40,3,150,3374.0
100,30,0.10,1.50,0.40,3,200,3331.0
100,30,0.10,1.50,0.40,5,50,3640.0
100,30,0.10,1.50,0.40,5,100,3239.0
100,30,0.10,1.50,0.40,5,150,3239.0
100,30,0.10,1.50,0.40,5,200,3239.0
100,30,0.10,1.50,0.40,7,50,3571.0
100,30,0.10,1.50,0.40,7,100,3467.0
100,30,0.10,1.50,0.40,7,150,3419.0
100,30,0.10,1.50,0.40,7,200,3343.0
100,30,0.10,1.50,0.40,9,50,3669.0
100,30,0.10,1.50,0.40,9,100,3452.0
100,30,0.10,1.50,0.40,9,150,3430.0
100,30,0.10,1.50,0.40,9,200,3317.0
100,30,0.10,1.50,0.40,11,50,3639.0
100,30,0.10,1.50,0.40,11,100,3444.0
100,30,0.10,1.50,0.40,11,150,3372.0
100,30,0.10,1.50,0.40,11,200,3372.0
100,30,0.10,1.50,0.40,13,50,3656.0
100,30,0.10,1.50,0.40,13,100,3382.0
100,30,0.10,1.50,0.40,13,150,3318.0
100,30,0.10,1.50,0.40,13,200,3306.0
100,30,0.10,1.50,0.50,1,50,3718.0
100,30,0.10,1.50,0.50,1,100,3554.0
100,30,0.10,1.50,0.50,1,150,3527.0
100,30,0.10,1.50,0.50,1,200,3407.0
100,30,0.10,1.50,0.50,3,50,3709.0
100,30,0.10,1.50,0.50,3,100,3652.0
100,30,0.10,1.50,0.50,3,150,3591.0
100,30,0.10,1.50,0.50,3,200,3481.0
100,30,0.10,1.50,0.50,5,50,3755.0
100,30,0.10,1.50,0.50,5,100,3644.0
100,30,0.10,1.50,0.50,5,150,3402.0
100,30,0.10,1.50,0.50,5,200,3402.0
100,30,0.10,1.50,0.50,7,50,3743.0
100,30,0.10,1.50,0.50,7,100,3503.0
100,30,0.10,1.50,0.50,7,150,3499.0
100,30,0.10,1.50,0.50,7,200,3499.0
100,30,0.10,1.50,0.50,9,50,3715.0
100,30,0.10,1.50,0.50,9,100,3566.0
100,30,0.10,1.50,0.50,9,150,3510.0
100,30,0.10,1.50,0.50,9,200,3510.0
100,30,0.10,1.50,0.50,11,50,3681.0
100,30,0.10,1.50,0.50,11,100,3627.0
100,30,0.10,1.50,0.50,11,150,3554.0
100,30,0.10,1.50,0.50,11,200,3503.0
100,30,0.10,1.50,0.50,13,50,3652.0
100,30,0.10,1.50,0.50,13,100,3574.0
100,30,0.10,1.50,0.50,13,150,3536.0
100,30,0.10,1.50,0.50,13,200,3534.0
100,30,0.10,1.50,0.60,1,50,3790.0
100,30,0.10,1.50,0.60,1,100,3790.0
100,30,0.10,1.50,0.60,1,150,3723.0
100,30,0.10,1.50,0.60,1,200,3653.0
100,30,0.10,1.50,0.60,3,50,3855.0
100,30,0.10,1.50,0.60,3,100,3845.0
100,30,0.10,1.50,0.60,3,150,3612.0
100,30,0.10,1.50,0.60,3,200,3597.0
100,30,0.10,1.50,0.60,5,50,3814.0
100,30,0.10,1.50,0.60,5,100,3569.0
100,30,0.10,1.50,0.60,5,150,3566.0
100,30,0.10,1.50,0.60,5,200,3566.0
100,30,0.10,1.50,0.60,7,50,3803.0
100,30,0.10,1.50,0.60,7,100,3803.0
100,30,0.10,1.50,0.60,7,150,3753.0
100,30,0.10,1.50,0.60,7,200,3641.0
100,30,0.10,1.50,0.60,9,50,3773.0
100,30,0.10,1.50,0.60,9,100,3773.0
100,30,0.10,1.50,0.60,9,150,3672.0
100,30,0.10,1.50,0.60,9,200,3598.0
100,30,0.10,1.50,0.60,11,50,3811.0
100,30,0.10,1.50,0.60,11,100,3713.0
100,30,0.10,1.50,0.60,11,150,3713.0
100,30,0.10,1.50,0.60,11,200,3660.0
100,30,0.10,1.50,0.60,13,50,3907.0
100,30,0.10,1.50,0.60,13,100,3578.0
100,30,0.10,1.50,0.60,13,150,3578.0
100,30,0.10,1.50,0.60,13,200,3578.0
100,30,0.10,1.50,0.70,1,50,3855.0
100,30,0.10,1.50,0.70,1,100,3851.0
100,30,0.10,1.50,0.70,1,150,3645.0
100,30,0.10,1.50,0.70,1,200,3645.0
100,30,0.10,1.50,0.70,3,50,3866.0
100,30,0.10,1.50,0.70,3,100,3700.0
100,30,0.10,1.50,0.70,3,150,3700.0
100,30,0.10,1.50,0.70,3,200,3700.0
100,30,0.10,1.50,0.70,5,50,3949.0
100,30,0.10,1.50,0.70,5,100,3873.0
100,30,0.10,1.50,0.70,5,150,3873.0
100,30,0.10,1.50,0.70,5,200,3810.0
100,30,0.10,1.50,0.70,7,50,3940.0
100,30,0.10,1.50,0.70,7,100,3786.0
100,30,0.10,1.50,0.70,7,150,3786.0
100,30,0.10,1.50,0.70,7,200,3704.0
100,30,0.10,1.50,0.70,9,50,3996.0
100,30,0.10,1.50,0.70,9,100,3879.0
100,30,0.10,1.50,0.70,9,150,3739.0
100,30,0.10,1.50,0.70,9,200,3692.0
100,30,0.10,1.50,0.70,11,50,3958.0
100,30,0.10,1.50,0.70,11,100,3910.0
100,30,0.10,1.50,0.70,11,150,3737.0
100,30,0.10,1.50,0.70,11,200,3737.0
100,30,0.10,1.50,0.70,13,50,3955.0
100,30,0.10,1.50,0.70,13,100,3756.0
100,30,0.10,1.50,0.70,13,150,3756.0
100,30,0.10,1.50,0.70,13,200,3699.0
100,30,0.10,1.50,0.80,1,50,3940.0
100,30,0.10,1.50,0.80,1,100,3889.0
100,30,0.10,1.50,0.80,1,150,3808.0
100,30,0.10,1.50,0.80,1,200,3808.0
100,30,0.10,1.50,0.80,3,50,3956.0
100,30,0.10,1.50,0.80,3,100,3910.0
100,30,0.10,1.50,0.80,3,150,3910.0
100,30,0.10,1.50,0.80,3,200,3802.0
100,30,0.10,1.50,0.80,5,50,4133.0
100,30,0.10,1.50,0.80,5,100,3962.0
100,30,0.10,1.50,0.80,5,150,3727.0
100,30,0.10,1.50,0.80,5,200,3727.0
100,30,0.10,1.50,0.80,7,50,4058.0
100,30,0.10,1.50,0.80,7,100,4004.0
100,30,0.10,1.50,0.80,7,150,3860.0
100,30,0.10,1.50,0.80,7,200,3815.0
100,30,0.10,1.50,0.80,9,50,4023.0
100,30,0.10,1.50,0.80,9,100,4023.0
100,30,0.10,1.50,0.80,9,150,3949.0
100,30,0.10,1.50,0.80,9,200,3931.0
100,30,0.10,1.50,0.80,11,50,3948.0
100,30,0.10,1.50,0.80,11,100,3939.0
100,30,0.10,1.50,0.80,11,150,3908.0
100,30,0.10,1.50,0.80,11,200,3866.0
100,30,0.10,1.50,0.80,13,50,4033.0
100,30,0.10,1.50,0.80,13,100,3887.0
100,30,0.10,1.50,0.80,13,150,3798.0
100,30,0.10,1.50,0.80,13,200,3798.0
100,30,0.10,1.50,0.90,1,50,4108.0
100,30,0.10,1.50,0.90,1,100,3972.0
100,30,0.10,1.50,0.90,1,150,3936.0
